m/z;I
149.0702;5.330039
151.0987;7.600894
152.1018;1.011884
166.0854;1.141311
168.1017;9.365808
179.0287;1.211907
180.0477;1.094246
198.058;100
199.0611;6.130133
200.0556;2.847394
346.1221;18.602188
347.1279;2.882692
