m/z;I
115;1.201201
117;15.715716
118;18.418418
119;2.002002
125;9.009009
127;3.103103
140;1.201201
166;3.503504
167;100
168;15.315315
180;9.009009
181;1.201201
192;1.601602
193;3.503504
194;9.009009
195;1.601602
201;11.011011
202;3.503504
203;4.304304
204;1.201201
214;1.601602
228;2.002002
230;6.706707
232;2.002002
