m/z;I
107.3;0.30030
134.1;0.30030
149.0;1.30130
150.0;0.90090
165.0;0.90090
166.0;0.60060
168.0 ;4.80480
178.9;0.50050
180.0;9.00901
181.1;0.90090
197.9;100.00000
198.9;7.30731
