m/z;I
77;6.306306
78;5.905906
79;5.105105
80;29.82983
81;1.601602
82;4.704705
84;16.516517
85;1.201201
90;7.107107
91;3.503504
92;6.706707
93;4.704705
94;2.002002
95;1.201201
96;2.002002
103;6.706707
104;1.201201
105;1.601602
106;35.335335
107;2.702703
110;1.201201
115;7.107107
117;100
118;13.313313
120;13.713714
121;1.601602
130;70.970971
131;8.208208
132;8.208208
