m/z;I
101;0.800801
103;21.221221
105;100
106;5.105105
111;0.800801
115;2.002002
118;2.402402
121;2.002002
122;3.503504
133;20.820821
135;51.751752
136;3.103103
144;0.800801
145;0.800801
147;1.601602
148;2.402402
163;4.704705
194;0.800801
